ID_IPEDS,YEAR,ENROLL_FTUG,GRANT_FEDERAL,GRANT_STATE,NETPRICE,PUBLIC,DEGREE_BACH,TYPE,TN_PROMISE
219994,2013,411,836874,530349,9631,1,0,two-year public,0
219994,2014,389,712577,452477,10071,1,0,two-year public,0
219994,2015,418,822972,687108,9423,1,0,two-year public,1
220002,2010,208,508992,32004,24956,0,1,four-year private,0
220002,2011,26,124166,1000,23839,0,1,four-year private,0
220002,2012,10,25755,0,25020,0,1,four-year private,0
220002,2013,13,51350,2000,23655,0,1,four-year private,0
220002,2014,4,9645,5250,22700,0,1,four-year private,0
220002,2015,37,180625,2667,22309,0,1,four-year private,1
220057,2010,726,2316297,582391,8561,1,0,two-year public,0
220057,2011,615,1864800,684411,9009,1,0,two-year public,0
220057,2012,570,1721640,654997,9430,1,0,two-year public,0
220057,2013,419,1282650,607736,6155,1,0,two-year public,0
220057,2014,390,1266561,577142,5855,1,0,two-year public,0
220057,2015,528,1389111,1307646,6018,1,0,two-year public,1
220075,2010,2053,4880692,6481501,13537,1,1,four-year public,0
220075,2011,2105,4659319,7233244,14688,1,1,four-year public,0
220075,2012,2038,4150371,6970606,15236,1,1,four-year public,0
220075,2013,1849,4078397,6432873,14708,1,1,four-year public,0
220075,2014,2025,4407741,7182563,14646,1,1,four-year public,0
220075,2015,1980,4307795,6293273,14915,1,1,four-year public,1
220118,2010,64,308948,10080,17972,0,0,two-year private,0
220118,2011,57,175450,9000,19222,0,0,two-year private,0
220118,2012,58,204500,11100,19564,0,0,two-year private,0
220118,2013,26,74666,11583,20978,0,0,two-year private,0
220118,2014,81,233358,27510,22723,0,0,two-year private,0
220118,2015,50,180655,36666,24803,0,0,two-year private,1
220127,2010,795,1353588,582333,9415,1,0,two-year public,0
220127,2011,843,1264821,721531,5401,1,0,two-year public,0
220127,2012,755,757334,599634,10405,1,0,two-year public,0
220127,2013,592,1420005,528952,10242,1,0,two-year public,0
220127,2014,666,1552537,711157,10517,1,0,two-year public,0
